D = 3;
n = [ 1 1 3 ];

N = 10;
d = [ 1 1 1 2 2 3 3 3 3 3 ];
m = [
    [ 1.00 0.35 0.20 0.45 0.50 0.40 0.75 0.55 0.45 0.05 ]
    [ 0.35 1.00 0.70 0.10 0.00 0.75 0.35 0.50 0.35 0.65 ]
    [ 0.20 0.70 1.00 0.00 0.65 0.50 0.70 0.35 0.00 0.25 ]
    [ 0.45 0.10 0.00 1.00 0.65 0.35 0.00 0.35 0.55 0.45 ]
    [ 0.50 0.00 0.65 0.65 1.00 0.70 1.00 0.60 0.25 0.90 ]
    [ 0.40 0.75 0.50 0.35 0.70 1.00 0.85 0.55 0.25 0.75 ]
    [ 0.75 0.35 0.70 0.00 1.00 0.85 1.00 0.55 0.40 0.35 ]
    [ 0.55 0.50 0.35 0.35 0.60 0.55 0.55 1.00 0.40 0.75 ]
    [ 0.45 0.35 0.00 0.55 0.25 0.25 0.40 0.40 1.00 0.75 ]
    [ 0.05 0.65 0.25 0.45 0.90 0.75 0.35 0.75 0.75 1.00 ]
];
solution = [ 2 4 5 6 9 ];

